Sınav Yılı,Sayfa Dosyası,Soru No,Soru Metni,Ana Konu,Soru Tipi
2017_ALES_Ilkbahar,page_12.png,29,"Verilen kurala göre doldurulmuş tablodaki sayılardan, maviye boyanmış dört kutunun sütun numaraları toplamı kaçtır? Tablo: 1 1 1 1 1 1 1 1",Sözel Mantık,Yeni Nesil Mantık
2017_ALES_Ilkbahar,page_12.png,30,"Kutular kurala göre boyanıp sayılar yazıldığında sadece bir kutuda 1 sayısı yazıyorsa, bu tablonun tüm kutularına yazılan sayıların toplamı kaçtır?",Sözel Mantık,Yeni Nesil Mantık
2017_ALES_Ilkbahar,page_13.png,31,"Mavi hücrelerdeki sayıların toplamı 144 ise, a+b kaçtır?",Cebirsel İfadeler,Yeni Nesil Mantık
2017_ALES_Ilkbahar,page_13.png,32,Verilen şekle göre 'a' değeri kaçtır?,Denklem Çözme / İşlem Yeteneği,Yeni Nesil Mantık
2017_ALES_Ilkbahar,page_13.png,33,Verilen şekle göre 'a' değeri kaçtır?,Denklem Çözme / İşlem Yeteneği,Yeni Nesil Mantık
2017_ALES_Ilkbahar,page_14.png,34,Verilen geometrik şekilde açı değerleri ve paralel kenarlar kullanılarak x açısı hesaplama.,Geometri,Salt İşlem
2017_ALES_Ilkbahar,page_14.png,35,Düzgün beşgen ve kare içeren şekilde x açısı hesaplama.,Geometri,Salt İşlem
2017_ALES_Ilkbahar,page_14.png,36,Kare ve yarım çemberler içinde verilen AEC üçgeninin alanını hesaplama.,Geometri,Problemler
2017_ALES_Ilkbahar,page_14.png,37,ABCD karesi ve içinde belirtilen uzunluk ve açılara göre boyalı bölgelerin alanları toplamını bulma.,Geometri,Problemler
2017_ALES_Ilkbahar,page_15.png,38,"Şekilde A noktasından geçen M merkezli çember ile B noktasından geçen O merkezli çember T noktasında birbirine teğettir. |TM| = 3 birim, |MO| = 2 birim, m(OTB) = 30°. Buna göre, |AB| uzunluğu kaç birimdir?",Geometri,Problemler
2017_ALES_Ilkbahar,page_15.png,39,"Taban yarıçapı 8 birim ve yüksekliği 9 birim olan dik dairesel koni şeklindeki A kabı ağzına kadar su ile doludur. Bu kaptaki suyun tamamı, taban yarıçapı 4 birim ve yüksekliği 20 birim olan dik dairesel silindir şeklindeki B kabına boşaltılıyor. Buna göre, B kabında boş kalan kısmın yüksekliği kaç birimdir?",Hacim Problemleri,Problemler
2017_ALES_Ilkbahar,page_15.png,40,"Dik koordinat düzleminde A(10,0), B(2a,2a), C(a,a) noktaları veriliyor. ABC üçgeninin alanı 60 birimkare olduğuna göre, a kaçtır?",Analitik Geometri,Problemler
2017_ALES_Ilkbahar,page_16.png,1,"0,2 - (1-0,2) / (0,1 / 0,02)",Rasyonel Sayılar,Salt İşlem
2017_ALES_Ilkbahar,page_16.png,2,(3^8 - 1) / (3^6 - 3^4 + 3^2 - 1),Üslü Sayılar,Salt İşlem
2017_ALES_Ilkbahar,page_16.png,3,(sqrt(12) + sqrt(6)) * (sqrt(6) - sqrt(3)) / sqrt(2),Köklü Sayılar,Salt İşlem
2017_ALES_Ilkbahar,page_16.png,4,"A2B / B1 = 13 (kalan 4); A, B birer rakam; A+B=?",Sayı Basamakları,Problemler
2017_ALES_Ilkbahar,page_17.png,5,"a - 2/b = 1 ve b - 1/a = 2 olduğuna göre, 4a - 2b ifadesinin değeri kaçtır?",Rasyonel Sayılar,Salt İşlem
2017_ALES_Ilkbahar,page_17.png,6,"√x • √y = 4/3 ve √y / √x = 2 eşitlikleri veriliyor. Buna göre, x + y toplamı kaçtır?",Köklü Sayılar,Salt İşlem
2017_ALES_Ilkbahar,page_17.png,7,"x + y < x < x • y eşitsizlikleri veriliyor. Buna göre, x > 0, x - y > 0, x/y > 0 ifadelerinden hangileri her zaman doğrudur?",Eşitsizlikler,Salt İşlem
2017_ALES_Ilkbahar,page_17.png,8,"|a/b| = 3 ve |a + 2b| = 10 olduğuna göre, a + b toplamının alabileceği en büyük değer kaçtır?",Mutlak Değer,Salt İşlem
2017_ALES_Ilkbahar,page_18.png,9,"A={1,2,3,4,5}, B={3,4,5,6,7} kümeleri veriliyor. C ⊆ B ve |A \ C| = 2 koşullarını sağlayan kaç farklı C kümesi vardır?",Kümeler,Salt İşlem
2017_ALES_Ilkbahar,page_18.png,10,"f(n) = n+1 (n çift ise), f(n) = n-1 (n tek ise) olarak tanımlanıyor. (f o f)(3) + f(a) = f(10) eşitliğini sağlayan a değeri kaçtır?",Fonksiyonlar,Salt İşlem
2017_ALES_Ilkbahar,page_18.png,11,"AB iki basamaklı bir doğal sayı olmak üzere, (AB+3)/5 doğal sayısı 5 ile tam bölünebilen bir tek sayıdır. Buna göre, AB sayısının alabileceği değerlerin toplamı kaçtır?",Sayı Basamakları ve Bölünebilme Kuralları,Problemler
2017_ALES_Ilkbahar,page_18.png,12,"Üç basamaklı ABC doğal sayısı, iki basamaklı BC doğal sayısının 10 katından 112 fazladır. Buna göre, A + B + C toplamı kaçtır?",Sayı Basamakları,Problemler
2017_ALES_Ilkbahar,page_19.png,13,A ve B adlı bilgisayar programlarının kullanım süreleri ve ücretlendirme bilgileri verilmiştir. Ceyda bu iki programı kullanmış ve toplam 930 TL ödemiştir. Buna göre A programı kaç ay kullanılmıştır?,Denklem Kurma Problemleri,Problemler
2017_ALES_Ilkbahar,page_19.png,14,"Fındık, ceviz ve bademden oluşan 40 kilogramlık bir karışım hazırlanmıştır. Karışımdaki fındık ve cevizin oranı ile satış fiyatları verilmiştir. Karışımın tamamının kilogramı 37,5 TL'den satıldığına göre, bademin kilogram fiyatı kaç TL'dir?",Karışım Problemleri,Problemler
2017_ALES_Ilkbahar,page_19.png,15,"Sabit hızla hareket eden bir otobüsün hızı 90 km/s'dir. Otobüsün 1,5 km gerisinden gelen bir otomobil, 3 dakika sonra otobüsü yakalıyor. Buna göre, otomobilin saatteki hızı kaç kilometredir?",Hareket Problemleri,Problemler
2017_ALES_Ilkbahar,page_19.png,16,"Bir tiyatro salonunda 1'den 9'a kadar numaralandırılmış 9 sıra vardır. Birinci sıradaki koltuklar tam doludur. Birinci sıradan sonraki her bir sırada, bir önceki sıradaki dolu koltuk sayısından, bulunulan sıranın numarası kadar fazla koltuk vardır. Salonda toplam 215 dolu koltuk bulunduğuna göre, birinci sıradaki dolu koltuk sayısı kaçtır?",Sayı Dizileri ve Denklem Kurma,Problemler
2017_ALES_Ilkbahar,page_20.png,17,"Yakıt tüketim hızı sabit olan bir aracın deposunun hacmi 52 litredir. Hareketine başladığında deposu tamamen dolu olan bu araç 200 km yol aldıktan sonra, aracın deposunun boşalan kısmının yarısı doldurulup araç yola devam ediyor. Bu aracın yakıtı, ilk harekete başladıktan 1400 km sonra bittiğine göre, araç kilometrede kaç litre yakıt tüketmektedir?",Problemler,Problemler
2017_ALES_Ilkbahar,page_20.png,18,"Bir karenin farklı A, B, C ve D köşeleri rastgele seçilerek [AB] ve [CD] doğru parçaları çiziliyor. Buna göre, bu iki doğru parçasının kesişme olasılığı kaçtır?",Olasılık,Salt İşlem
2017_ALES_Ilkbahar,page_20.png,19,"Bir yarışmacı, ilk kelime için toplam 6 harf açtırdıktan sonra doğru tahminde bulunmuş ve yarışmacının puanı 1900 olmuştur. Buna göre, bu yarışmacı ilk kelimede kaç tane sesli harf açtırmıştır?",Sayısal Mantık,Yeni Nesil Mantık
2017_ALES_Ilkbahar,page_20.png,20,"Bir yarışmacı, ilk iki kelimede sadece birer sessiz harf açtırdıktan sonra bu kelimeleri yanlış tahmin etmiştir. Sonraki tüm kelimeleri ise harf açtırmadan doğru tahmin etmiş ve yarışma sonunda puanı 3500 olmuştur. Buna göre, yarışmacının doğru tahmin ettiği kelime sayısı kaçtır?",Sayısal Mantık,Yeni Nesil Mantık
2017_ALES_Ilkbahar,page_21.png,21,"Dairesel grafiklerde verilen başlangıç ve yıl sonu ürün dağılımlarına göre, C ürünlerinin yarısı satıldıysa, D ürünlerinin yüzde kaçı satılmıştır?",Grafik Problemleri,Tablo/Grafik Okuma
2017_ALES_Ilkbahar,page_21.png,22,"Başlangıçta A ürününden 700 adet olduğu ve B ile D ürünlerinden eşit sayıda satıldığı bilindiğine göre, C ürününden kaç adet satılmıştır?",Grafik Problemleri,Tablo/Grafik Okuma
2017_ALES_Ilkbahar,page_21.png,23,"90 koltuklu uçağın 3 gruba ayrılan koltuklarının fiyat farkları ve satış sırası verilmiştir. İkinci grup koltukların tamamı satıldığında geliri üçüncü grup gelirinin 2 katıysa, toplam kaç koltuk satılmıştır?",Yüzde Problemleri,Problemler
2017_ALES_Ilkbahar,page_21.png,24,"İkinci grup koltukların 120 TL'ye satıldığı ve toplam 65 koltuk satıldığı bilindiğine göre, bu uçakta satılan tüm biletlerden elde edilen toplam gelir kaç TL'dir?",Yüzde Problemleri,Problemler
2017_ALES_Ilkbahar,page_22.png,25,"Verilen tabloya göre, x'in alabileceği değerlerin toplamı kaçtır?",Sayısal Mantık,Yeni Nesil Mantık
2017_ALES_Ilkbahar,page_22.png,26,"Verilen tabloya göre, x + y toplamı kaçtır?",Sayısal Mantık,Yeni Nesil Mantık
2017_ALES_Ilkbahar,page_22.png,27,"Verilen tabloya göre, a + b + c toplamı kaçtır?",Sayısal Mantık,Yeni Nesil Mantık
2017_ALES_Ilkbahar,page_23.png,28,"Verilen cevap dizisi (D, D, D, Y, D, Y, Y, D, D) ve ilk sorunun zorluk seviyesi 2 olarak alındığında, adayın sınavdan aldığı toplam puan kaçtır? (Zorluk seviyesi ve puan kurallarına göre hesaplama yapılacaktır.)",Yeni Nesil Mantık,Yeni Nesil Mantık
2017_ALES_Ilkbahar,page_23.png,29,"Tüm soruların zorluk seviyesinin 3 olduğu bir senaryoda, ilk ve son soruları doğru cevaplayan bir adayın sınavdan aldığı toplam puan kaçtır? (Zorluk seviyesi 3'ü koruyacak cevap deseni ve puanlama kurallarına göre hesaplama yapılacaktır.)",Yeni Nesil Mantık,Yeni Nesil Mantık
2017_ALES_Ilkbahar,page_23.png,30,"İlk sorunun zorluk seviyesi 1 seçildiğinde ve tüm sorular doğru cevaplandığında, adayın sınavdan aldığı toplam puan kaçtır? (Zorluk seviyesi ve puan kurallarına göre adım adım hesaplama yapılacaktır.)",Yeni Nesil Mantık,Yeni Nesil Mantık
2017_ALES_Ilkbahar,page_24.png,31,39 + 50 + 66 işleminin sonucu kaçtır?,Asal Çarpanlar ve Sayı Teorisi,Salt İşlem
2017_ALES_Ilkbahar,page_24.png,32,AB = 1 koşulunu sağlayan en büyük sayının rakamları toplamı kaçtır?,Asal Çarpanlar ve Sayı Teorisi,Problemler
2017_ALES_Ilkbahar,page_24.png,33,Sadece iki asal böleni olan ve AB = 3 koşulunu sağlayan kaç tane AB sayısı vardır?,Asal Çarpanlar ve Sayı Teorisi,Problemler
2017_ALES_Ilkbahar,page_25.png,34,"Beş eş çemberin birbirine teğet olduğu bir şekilde, çemberler üzerinde bulunan a, b, c, d, e çevre açılarının toplamı isteniyor.",Geometri (Çemberde Açılar),Salt İşlem
2017_ALES_Ilkbahar,page_25.png,35,[AD] çaplı yarım çemberin içine çizilen diğer yarım çemberler ve yay uzunlukları verilerek BE/CF oranı soruluyor.,"Geometri (Çemberler, Yay Uzunlukları)",Salt İşlem
2017_ALES_Ilkbahar,page_25.png,36,ABCD dikdörtgeni ve EBFG karesinin bazı kenar uzunlukları ve eşitlikleri verilerek ABCD dikdörtgeninin alanı soruluyor.,"Geometri (Dikdörtgen, Kare, Alan)",Salt İşlem
2017_ALES_Ilkbahar,page_26.png,37,"ABCDEF düzgün altıgen, GMN eşkenar üçgen. |AB| = 6 birim. K ve L orta noktalar. GMN üçgeninin alanı kaç birimkaredir?",Geometri,Salt İşlem
2017_ALES_Ilkbahar,page_26.png,38,ABCD ve KLMC eş dikdörtgenler. [LM] ⊥ [BH]. 3|AK| = 2|KB|. |AD| = 10 birim. |BH| = x. x kaç birimdir?,Geometri,Salt İşlem
2017_ALES_Ilkbahar,page_26.png,39,ABCDEF düzgün altıgen. [BF] ∩ [AC] = {K}. |AK| = 1 birim. |DK| = x. x kaç birimdir?,Geometri,Salt İşlem
2017_ALES_Ilkbahar,page_26.png,40,"Ayrıt uzunluğu 2 birim olan küpte, ayrıtların orta noktaları A, B, C, D. ABCD dörtgeninin alanı kaç birimkaredir?",Uzay Geometri,Salt İşlem
2017_ALES_Ilkbahar,page_27.png,1,15 santimlik cep telefonu ekranlarının 120 ekran televizyonların [boşluk 1] çözünürlüklere ulaşmasıyla televizyonlarda HD standardını [boşluk 2].,Cümle Tamamlama,Paragraf
2017_ALES_Ilkbahar,page_27.png,2,Kahve çekirdeklerinden kafein ayırma süreci anlatılıyor; kafein suda çözünebildiği halde [boşluk] sadece kafein uzaklaştırmak istendiğinde uygun bir çözücü değildir.,Cümle Tamamlama,Paragraf
2017_ALES_Ilkbahar,page_27.png,3,"İnsan devamlı dikiz aynasına bakarak, [boşluk] yaşayamaz; geçmiş, bugün ve gelecekten beslenilmelidir.",Cümle Tamamlama,Paragraf
2017_ALES_Ilkbahar,page_27.png,4,"Spor sonrası kas ağrısı, kaslara yeterince hızlı kan gitmeyince laktik asit birikmesi ve sinir uyarımı ile ortaya çıkar. Cümleler arasındaki boşluğu tamamla.",Cümle Tamamlama,Paragraf
2017_ALES_Ilkbahar,page_28.png,5,Ramazan panayırlarından lunaparklara uzanan eğlence anlayışının Türkiye'ye gelişimini anlatan metinden çıkarım yapma.,Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_28.png,6,John Berger'ın eserleri ve Jean Mohr ile olan işbirliği hakkında verilen bilgiden çıkarım yapma.,Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_28.png,7,Manisa'daki Uluslararası Mesir Macunu Şenliği ve macun üretimi hakkında verilen bilgiden çıkarım yapma.,Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_28.png,8,Karadeniz çevresindeki ülkelerin son 40 yıldaki üretim artışı ve buna bağlı çevre kirliliği hakkında verilen bilgiden çıkarım yapma.,Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_29.png,9,"2009'da, Hollandalı araştırmacılardan oluşan bir ekip, yeşil alanların yakınında yaşayanlarda depresyon, kalp hastalığı, diyabet, astım ve migren dâhil 15 hastalığın daha düşük oranda görüldüğünü saptadı. Buna göre verilen ifadelerden hangisine ulaşılabileceği ya da ulaşılamayacağı sorulmaktadır.",Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_29.png,10,Verilen sözler anlamlı ve kurallı bir cümle oluşturacak biçimde sıralandığında üçüncü ögeyi bulma.,Cümle Oluşturma,Sözel Mantık
2017_ALES_Ilkbahar,page_29.png,11,Verilen sözler anlamlı ve kurallı bir cümle oluşturacak biçimde sıralandığında dördüncü ögeyi bulma.,Cümle Oluşturma,Sözel Mantık
2017_ALES_Ilkbahar,page_29.png,12,Verilen sözler anlamlı ve kurallı bir cümle oluşturacak biçimde sıralandığında dördüncü ögeyi bulma.,Cümle Oluşturma,Sözel Mantık
2017_ALES_Ilkbahar,page_29.png,13,Verilen cümleler anlamlı bir bütün oluşturacak biçimde sıralandığında üçüncü ögeyi bulma.,Paragraf Oluşturma,Paragraf
2017_ALES_Ilkbahar,page_30.png,14,Yukarıdaki cümleler anlamlı bir bütün oluşturacak biçimde sıralandığında hangisi baştan dördüncü olur?,Paragrafta Yapı,Paragraf
2017_ALES_Ilkbahar,page_30.png,15,Bu parçanın yazarına göre İlhami Çiçek'le ilgili olarak aşağıdakilerden hangisi söylenebilir?,Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_30.png,16,Bu parçadaki altı çizili sözle anlatılmak istenen aşağıdakilerden hangisi olamaz?,Sözcükte ve Söz Öbeğinde Anlam,Paragraf
2017_ALES_Ilkbahar,page_30.png,17,Bu parçada Osmanlı kahvehaneleri ile ilgili olarak aşağıdakilerden hangisine ulaşılabilir?,Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_31.png,18,Keşifler yapmak istiyorsan yapacağın yanlışlara sevinmen gerektiğini unutmamalısın. Bu düşünceyi savunan birinin aşağıdakilerden hangisini söylemesi beklenemez?,Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_31.png,19,"Bu yıl 2-8 Ağustos tarihleri arasında ikincisi düzenlenecek olan Kazova-Kelkit Domates Festivali, daha önce görülen ilgisizliğe ve pazarlama sorunlarına çözüm getirebileceği düşüncesiyle yerel sanatçıların katılacağı bir müzik şöleniyle başlayacak ve bölgede üretilen bazı ürünler satışa çıkarılacaktır. Bu cümleden hareketle aşağıdakilerden hangisine ulaşılamaz?",Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_31.png,20,Latin edebiyatının bu başarı çocuğunu başarılı kılan şeyin sanatçıdaki rağmenlik tutkusu olduğu konusunda bütün edebiyat eleştirmenleri hemfikir. Bu cümlede sanatçının altı çizili sözle anlatılmak istenen özelliği aşağıdakilerden hangisidir?,Sözcükte Anlam,Paragraf
2017_ALES_Ilkbahar,page_31.png,21,"Bana göre 1990 sonrası Türk edebiyatında polisiye türü, romanın tüm yetkilerini kullanmakta ve insanı yansıtma noktasında romanın diğer türlerine nazaran daha gerçekçi bir zeminden seslenmektedir. Bu cümleye göre aşağıdakilerden hangisi söylenebilir?",Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_32.png,22,"Performans sanatçısının izleyici algısı ve eserleriyle ilgili görüşleri üzerine bir paragraf verilmiş, sanatçının söylemesi beklenmeyen ifade soruluyor.",Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_32.png,23,"Maşathöyük antik kenti hakkında bilgi veren bir paragrafta, hangi bilginin değinilmediği soruluyor.",Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_32.png,24,"Yemek kültürleri hakkında bir yazarın görüşlerini anlatan numaralı cümlelerin yer aldığı bir paragrafta, hangi cümlede neden-sonuç ilişkisinin birlikte verilmediği soruluyor.",Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_32.png,25,"Öğretmen davranışlarının öğrenci üzerindeki etkilerini açıklayan bir paragraftan hareketle, hangi çıkarımın yapılabileceği soruluyor.",Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_33.png,26,Hız mayosu ile ilgili parçada değinilmeyen bilgi.,Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_33.png,27,Parçanın yazılış amacı.,Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_34.png,28,Bu parçada yüz tanıma hastalarıyla ilgili olarak aşağıdakilerden hangisi vurgulanmaktadır?,Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_34.png,29,Bu parçaya göre yüz körlüğü olan birinin konuştuğu kişinin yüzündeki bir noktaya odaklanamamasının nedeni aşağıdakilerden hangisi olabilir?,Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_35.png,30,Bu parçadan hareketle Gogol'ün sanatıyla ilgili olarak aşağıdaki yargılardan hangisine ulaşılamaz?,Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_35.png,31,Bu parçadaki altı çizili sözle anlatılmak istenen aşağıdakilerden hangisidir?,Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_35.png,32,Bu parçada yukarıdaki sorulardan hangilerinin cevabı bulunmaktadır?,Paragrafta Anlam,Paragraf
2017_ALES_Ilkbahar,page_36.png,33,"Buna göre I. Gaziantep, II. İzmir, III. Kastamonu şehirlerinden hangilerine ikinci gün kargo taşınmış olabilir?",Sözel Mantık,Yeni Nesil Mantık
2017_ALES_Ilkbahar,page_36.png,34,Kargo taşınan ilk üç şehrin sırası aşağıdakilerden hangisi olamaz?,Sözel Mantık,Yeni Nesil Mantık
2017_ALES_Ilkbahar,page_36.png,35,"Buna göre üçüncü gün I. B, II. C, III. D tipindeki kargolardan hangileri taşınmış olabilir?",Sözel Mantık,Yeni Nesil Mantık
2017_ALES_Ilkbahar,page_36.png,36,"İlk dört günde, her gün bir önceki günden daha hafif bir kargo taşındığı biliniyorsa aşağıdakilerden hangisi kesin olarak yanlıştır?",Sözel Mantık,Yeni Nesil Mantık
